as_of,field,observed_at,value,floor,round_half_up,discriminating,comparable,site_display,note
2026-09-18,current,2026-09-19T06:46:16+09:00,29.1142857142857,29,29,no,no,29,現在値はAPI取得と画面読み取りの間に動くため判定に使わない
2026-09-18,prev_close,2026-09-19T06:46:16+09:00,28.6857142857143,28,29,yes,yes,28,
2026-09-18,w1,2026-09-19T06:46:16+09:00,32.6857142857143,32,33,yes,yes,32,
2026-09-18,m1,2026-09-19T06:46:16+09:00,54.628571428571426,54,55,yes,yes,54,
2026-09-18,y1,2026-09-19T06:46:16+09:00,66.54285714285714,66,67,yes,yes,66,
2026-09-21,current,2026-09-22T00:36:53+09:00,33.1714285714286,33,33,no,no,,現在値はAPI取得と画面読み取りの間に動くため判定に使わない
2026-09-21,prev_close,2026-09-22T00:36:53+09:00,29.1142857142857,29,29,no,yes,,
2026-09-21,w1,2026-09-22T00:36:53+09:00,31.0,31,31,no,yes,,
2026-09-21,m1,2026-09-22T00:36:53+09:00,54.65714285714286,54,55,yes,yes,,
2026-09-21,y1,2026-09-22T00:36:53+09:00,66.22857142857144,66,66,no,yes,,
